feature,importance
TARGET_PATHWAY_Mitosis,0.08272637
TARGET_PATHWAY_Protein stability and degradation,0.07502351
TARGET_TOP1,0.05881559
TARGET_PATHWAY_Other,0.054961078
TARGET_PATHWAY_Cell cycle,0.042900294
TARGET_PATHWAY_Metabolism,0.041428324
TARGET_DOT1L,0.040011633
TARGET_Microtubule stabiliser,0.037942767
TARGET_PATHWAY_Genome integrity,0.03372488
TARGET_PATHWAY_Hormone-related,0.0319456
TARGET_PATHWAY_WNT signaling,0.027557438
DRUG_ID,0.025528904
TARGET_DNA alkylating agent,0.022376651
TARGET_PATHWAY_p53 pathway,0.021685366
TARGET_PATHWAY_Apoptosis regulation,0.019644015
Growth Properties_Suspension,0.014242138
TARGET_PATHWAY_RTK signaling,0.013211739
TARGET_PATHWAY_PI3K/MTOR signaling,0.012705146
GDSC Tissue descriptor 1_leukemia,0.012129793
"TARGET_PATHWAY_Other, kinases",0.011321173
GDSC Tissue descriptor 1_lymphoma,0.010166802
TARGET_PATHWAY_Chromatin histone methylation,0.009522026
TARGET_PATHWAY_Chromatin histone acetylation,0.009484525
TARGET_PATHWAY_Unclassified,0.008295516
GDSC Tissue descriptor 1_lung_SCLC,0.008049979
TCGA_DESC_PAAD,0.006392794
GDSC Tissue descriptor 2_melanoma,0.0058709616
TARGET_PATHWAY_DNA replication,0.0057991236
GDSC Tissue descriptor 1_pancreas,0.0054305587
TARGET_PATHWAY_EGFR signaling,0.005200008
TARGET_BRD4,0.0050302544
TCGA_DESC_SKCM,0.0049388674
TARGET_BRAF,0.004923531
TCGA_DESC_MESO,0.004436453
Cancer Type (matching TCGA label)_ESCA,0.0043678414
"TARGET_MEK1, MEK2",0.0042951712
"TARGET_TNKS1, TNKS2",0.004180408
GDSC Tissue descriptor 1_lung_NSCLC,0.003911553
GDSC Tissue descriptor 2_ewings_sarcoma,0.0038498465
Cancer Type (matching TCGA label)_HNSC,0.0037746031
TCGA_DESC_NB,0.0037636121
GDSC Tissue descriptor 2_head and neck,0.0037358955
"TARGET_PARP1, PARP2",0.003696728
TARGET_PATHWAY_IGF1R signaling,0.0036830867
TCGA_DESC_LUSC,0.0033800998
GDSC Tissue descriptor 1_neuroblastoma,0.0033055942
GDSC Tissue descriptor 2_lung_small_cell_carcinoma,0.0032880104
CNA_Y,0.003173147
GDSC Tissue descriptor 1_kidney,0.0031538554
TARGET_PORCN,0.0030064373
